Medida;Etapa_ensino;Ano;Docentes
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2009;279
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2010;278
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2011;266
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2012;272
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2013;278
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2014;288
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2015;276
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2016;274
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2017;290
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2018;285
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2019;281
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2020;267
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2021;266
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2022;299
Ensino Fundamental - Anos finais;Educação Básica;2007;275
Ensino Fundamental - Anos finais;Educação Básica;2008;281
Ensino Fundamental - Anos finais;Educação Básica;2009;313
Ensino Fundamental - Anos finais;Educação Básica;2010;320
Ensino Fundamental - Anos finais;Educação Básica;2011;328
Ensino Fundamental - Anos finais;Educação Básica;2012;334
Ensino Fundamental - Anos finais;Educação Básica;2013;308
Ensino Fundamental - Anos finais;Educação Básica;2014;321
Ensino Fundamental - Anos finais;Educação Básica;2015;317
Ensino Fundamental - Anos finais;Educação Básica;2016;325
Ensino Fundamental - Anos finais;Educação Básica;2017;305
Ensino Fundamental - Anos finais;Educação Básica;2018;322
Ensino Fundamental - Anos finais;Educação Básica;2019;300
Ensino Fundamental - Anos finais;Educação Básica;2020;332
Ensino Fundamental - Anos finais;Educação Básica;2021;352
Ensino Fundamental - Anos finais;Educação Básica;2022;339
Ensino Fundamental - Anos finais;Ensino Fundamental;2007;275
Ensino Fundamental - Anos finais;Ensino Fundamental;2008;281
Ensino Fundamental - Anos finais;Ensino Fundamental;2009;313
Ensino Fundamental - Anos finais;Ensino Fundamental;2010;320
Ensino Fundamental - Anos finais;Ensino Fundamental;2011;328
Ensino Fundamental - Anos finais;Ensino Fundamental;2012;334
Ensino Fundamental - Anos finais;Ensino Fundamental;2013;308
Ensino Fundamental - Anos finais;Ensino Fundamental;2014;321
Ensino Fundamental - Anos finais;Ensino Fundamental;2015;317
Ensino Fundamental - Anos finais;Ensino Fundamental;2016;325
Ensino Fundamental - Anos finais;Ensino Fundamental;2017;305
Ensino Fundamental - Anos finais;Ensino Fundamental;2018;322
Ensino Fundamental - Anos finais;Ensino Fundamental;2019;300
Ensino Fundamental - Anos finais;Ensino Fundamental;2020;332
Ensino Fundamental - Anos finais;Ensino Fundamental;2021;352
Ensino Fundamental - Anos finais;Ensino Fundamental;2022;339
Ensino Médio;Educação Básica;2007;227
Ensino Médio;Educação Básica;2008;230
Ensino Médio;Educação Básica;2009;243
Ensino Médio;Educação Básica;2010;256
Ensino Médio;Educação Básica;2011;249
Ensino Médio;Educação Básica;2012;258
Ensino Médio;Educação Básica;2013;253
Ensino Médio;Educação Básica;2014;276
Ensino Médio;Educação Básica;2015;265
Ensino Médio;Educação Básica;2016;254
Ensino Médio;Educação Básica;2017;248
Ensino Médio;Educação Básica;2018;256
Ensino Médio;Educação Básica;2019;258
Ensino Médio;Educação Básica;2020;251
Ensino Médio;Educação Básica;2021;271
Ensino Médio;Educação Básica;2022;278
Ensino Médio;Ensino Médio;2007;227
Ensino Médio;Ensino Médio;2008;230
Ensino Médio;Ensino Médio;2009;243
Ensino Médio;Ensino Médio;2010;256
Ensino Médio;Ensino Médio;2011;249
Ensino Médio;Ensino Médio;2012;258
Ensino Médio;Ensino Médio;2013;253
Ensino Médio;Ensino Médio;2014;276
Ensino Médio;Ensino Médio;2015;265
Ensino Médio;Ensino Médio;2016;254
Ensino Médio;Ensino Médio;2017;248
Ensino Médio;Ensino Médio;2018;256
Ensino Médio;Ensino Médio;2019;258
Ensino Médio;Ensino Médio;2020;251
Ensino Médio;Ensino Médio;2021;271
Ensino Médio;Ensino Médio;2022;278
Ensino Médio;Educação Profissional;2020;12
Ensino Médio;Educação Profissional;2021;16
Ensino Médio;Educação Profissional;2022;13
Ensino Médio - Propedêutico;Educação Básica;2007;227
Ensino Médio - Propedêutico;Educação Básica;2008;230
Ensino Médio - Propedêutico;Educação Básica;2009;243
Ensino Médio - Propedêutico;Educação Básica;2010;256
Ensino Médio - Propedêutico;Educação Básica;2011;249
Ensino Médio - Propedêutico;Educação Básica;2012;258
Ensino Médio - Propedêutico;Educação Básica;2013;253
Ensino Médio - Propedêutico;Educação Básica;2014;276
Ensino Médio - Propedêutico;Educação Básica;2015;265
Ensino Médio - Propedêutico;Educação Básica;2016;254
Ensino Médio - Propedêutico;Educação Básica;2017;248
Ensino Médio - Propedêutico;Educação Básica;2018;256
Ensino Médio - Propedêutico;Educação Básica;2019;258
Ensino Médio - Propedêutico;Educação Básica;2020;250
Ensino Médio - Propedêutico;Educação Básica;2021;270
Ensino Médio - Propedêutico;Educação Básica;2022;278
Ensino Médio - Propedêutico;Ensino Médio;2007;227
Ensino Médio - Propedêutico;Ensino Médio;2008;230
Ensino Médio - Propedêutico;Ensino Médio;2009;243
Ensino Médio - Propedêutico;Ensino Médio;2010;256
Ensino Médio - Propedêutico;Ensino Médio;2011;249
Ensino Médio - Propedêutico;Ensino Médio;2012;258
Ensino Médio - Propedêutico;Ensino Médio;2013;253
Ensino Médio - Propedêutico;Ensino Médio;2014;276
Ensino Médio - Propedêutico;Ensino Médio;2015;265
Ensino Médio - Propedêutico;Ensino Médio;2016;254
Ensino Médio - Propedêutico;Ensino Médio;2017;248
Ensino Médio - Propedêutico;Ensino Médio;2018;256
Ensino Médio - Propedêutico;Ensino Médio;2019;258
Ensino Médio - Propedêutico;Ensino Médio;2020;250
Ensino Médio - Propedêutico;Ensino Médio;2021;270
Ensino Médio - Propedêutico;Ensino Médio;2022;278
Ensino Médio - Integrado;Educação Básica;2020;12
Ensino Médio - Integrado;Educação Básica;2021;16
Ensino Médio - Integrado;Educação Básica;2022;13
Ensino Médio - Integrado;Ensino Médio;2020;12
Ensino Médio - Integrado;Ensino Médio;2021;16
Ensino Médio - Integrado;Ensino Médio;2022;13
Ensino Médio - Integrado;Educação Profissional;2020;12
Ensino Médio - Integrado;Educação Profissional;2021;16
Ensino Médio - Integrado;Educação Profissional;2022;13
Educação Profissional;Educação Básica;2020;12
Educação Profissional;Educação Básica;2021;16
Educação Profissional;Educação Básica;2022;15
Educação Profissional;Ensino Médio;2020;12
Educação Profissional;Ensino Médio;2021;16
Educação Profissional;Ensino Médio;2022;13
Educação Profissional;Educação Profissional;2020;12
Educação Profissional;Educação Profissional;2021;16
Educação Profissional;Educação Profissional;2022;15
Educação Profissional - Técnica;Educação Básica;2020;12
Educação Profissional - Técnica;Educação Básica;2021;16
Educação Profissional - Técnica;Educação Básica;2022;15
Educação Profissional - Técnica;Ensino Médio;2020;12
Educação Profissional - Técnica;Ensino Médio;2021;16
Educação Profissional - Técnica;Ensino Médio;2022;13
Educação Profissional - Técnica;Educação Profissional;2020;12
Educação Profissional - Técnica;Educação Profissional;2021;16
Educação Profissional - Técnica;Educação Profissional;2022;15
Educação de Jovens e Adultos;Educação Básica;2007;128
Educação de Jovens e Adultos;Educação Básica;2008;115
Educação de Jovens e Adultos;Educação Básica;2009;98
Educação de Jovens e Adultos;Educação Básica;2010;110
Educação de Jovens e Adultos;Educação Básica;2011;107
Educação de Jovens e Adultos;Educação Básica;2012;91
Educação de Jovens e Adultos;Educação Básica;2013;85
Educação de Jovens e Adultos;Educação Básica;2014;68
Educação de Jovens e Adultos;Educação Básica;2015;50
Educação de Jovens e Adultos;Educação Básica;2016;45
Educação de Jovens e Adultos;Educação Básica;2017;49
Educação de Jovens e Adultos;Educação Básica;2018;36
Educação de Jovens e Adultos;Educação Básica;2019;24
Educação de Jovens e Adultos;Educação Básica;2020;19
Educação de Jovens e Adultos;Educação Básica;2021;31
Educação de Jovens e Adultos;Educação Básica;2022;52
Educação de Jovens e Adultos;Educação de Jovens e Adultos - EJA;2007;128
Educação de Jovens e Adultos;Educação de Jovens e Adultos - EJA;2008;115
Educação de Jovens e Adultos;Educação de Jovens e Adultos - EJA;2009;98
Educação de Jovens e Adultos;Educação de Jovens e Adultos - EJA;2010;110
Educação de Jovens e Adultos;Educação de Jovens e Adultos - EJA;2011;107
Educação de Jovens e Adultos;Educação de Jovens e Adultos - EJA;2012;91
Educação de Jovens e Adultos;Educação de Jovens e Adultos - EJA;2013;85
Educação de Jovens e Adultos;Educação de Jovens e Adultos - EJA;2014;68
Educação de Jovens e Adultos;Educação de Jovens e Adultos - EJA;2015;50
Educação de Jovens e Adultos;Educação de Jovens e Adultos - EJA;2016;45
Educação de Jovens e Adultos;Educação de Jovens e Adultos - EJA;2017;49
Educação de Jovens e Adultos;Educação de Jovens e Adultos - EJA;2018;36
Educação de Jovens e Adultos;Educação de Jovens e Adultos - EJA;2019;24
Educação de Jovens e Adultos;Educação de Jovens e Adultos - EJA;2020;19
Educação de Jovens e Adultos;Educação de Jovens e Adultos - EJA;2021;31
Educação de Jovens e Adultos;Educação de Jovens e Adultos - EJA;2022;52
Educação de Jovens e Adultos - Ensino Fundamental;Educação Básica;2007;76
Educação de Jovens e Adultos - Ensino Fundamental;Educação Básica;2008;69
Educação de Jovens e Adultos - Ensino Fundamental;Educação Básica;2009;51
Educação de Jovens e Adultos - Ensino Fundamental;Educação Básica;2010;41
Educação de Jovens e Adultos - Ensino Fundamental;Educação Básica;2011;49
Educação de Jovens e Adultos - Ensino Fundamental;Educação Básica;2012;36
Educação de Jovens e Adultos - Ensino Fundamental;Educação Básica;2013;29
Educação de Jovens e Adultos - Ensino Fundamental;Educação Básica;2014;31
Educação de Jovens e Adultos - Ensino Fundamental;Educação Básica;2015;21
Educação de Jovens e Adultos - Ensino Fundamental;Educação Básica;2016;23
Educação de Jovens e Adultos - Ensino Fundamental;Educação Básica;2017;12
Educação de Jovens e Adultos - Ensino Fundamental;Educação Básica;2018;14
Educação de Jovens e Adultos - Ensino Fundamental;Educação Básica;2019;13
Educação de Jovens e Adultos - Ensino Fundamental;Educação Básica;2020;11
Educação de Jovens e Adultos - Ensino Fundamental;Educação Básica;2021;11
Educação de Jovens e Adultos - Ensino Fundamental;Educação Básica;2022;22
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2007;76
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2008;69
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2009;51
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2010;41
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2011;49
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2012;36
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2013;29
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2014;31
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2015;21
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2016;23
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2017;12
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2018;14
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2019;13
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2020;11
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2021;11
Educação de Jovens e Adultos - Ensino Fundamental;Educação de Jovens e Adultos - EJA;2022;22
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2007;75
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2008;70
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2009;67
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2010;83
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2011;78
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2012;68
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2013;63
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2014;49
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2015;39
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2016;31
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2017;45
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2018;29
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2019;20
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2020;15
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2021;26
Educação de Jovens e Adultos - Ensino Médio;Educação Básica;2022;38
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2007;75
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2008;70
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2009;67
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2010;83
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2011;78
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2012;68
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2013;63
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2014;49
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2015;39
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2016;31
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2017;45
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2018;29
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2019;20
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2020;15
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2021;26
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2022;38